id,neg,neu,pos,compound,Comments,Sentiment Category,Comment_ID
23,0.119,0.763,0.118,-0.6368,"Base S23 could now easily be recommended as the best compact phone; with S22, battery and thermal issues were big problems that held it back from getting that title and instead the Asus Zenfone 9 got it. Now, with bigger battery, more efficient chip, and better cooling system, S23 wins that title by FAR (Zenfone 9 doesn't have telephoto lens or wireless charging, lesser update commitment, and is missing all those QOL improvements that real flagships have). Of course there's still iPhone 14 pro to consider, but a) it's $200 dollars more, b) has weaker battery and charging, c) you can't really compare iOS and Android since no one is really switching from one to another no matter how many arguments you have either way...",negative,23
24,0.0,0.704,0.296,0.9252,"I got mine yesterday and as Samsung stated, ""Ultra"" is the best of the best and the S23 Ultra delivers. The device is so responsive that its unbelievable. My Note 20 Ultra wasnt this fast at all.",positive,24
25,0.0,0.628,0.372,0.9057,"I love my S23 Ultra, I can't get over the things this phone can do, and the camera well thats self explanatory. Awesome phone!!!",positive,25
26,0.046,0.767,0.186,0.9958,"Can I just say as a Samsung user for over 7 years now I've appreciated the tech that has been applied over the years.  Nothing has ever come close to samsungs cameras for photography for me.  I've always purchased the ultra as I wanted the best cameras but saying that I also like an aesthetically pleasing phone.  A phone that just feels good in the hand and comfortable to use.  My current phone is the s20 ultra.  I've never like the note series.  For that purpose I've not upgraded for 3 years because I don't want to downgrade on the cameras and I think the latest ultras are ugly and boxy.  Like holding a brick.  I did contemplate going with the 23+,  it looks amazing.  The rounded corners I love and also the flat sides and screen just makes it all the more pleasing to look at but then there's the cameras.  I'd be limited with what I can do so I've decided to continue on with the 20 ultra for now.  Six months down the like now since the 23 release and I've researched and watched a million reviews especially on camera comparison between the range.  If you made the plus with all the specs of the ultra then I'd be sold.  Not everyone likes those sharp edge corners,  hence why you had the notes for those who did.  Bring back the ultra with the smooth,  seemless rounded corners please,  I'm loving the flat screen as it looks nicer then the curved screen of the 20 ultra but please listen to all the comments in the hundreds of reviews so far about the ultra specs in the body of the plus.  I'll wait another 6 months to see what your going to do with the 24 range.  I will say so far though you've lost out in 2 years of upgrade sales from me alone,  others must feel the same.  I like a shiny new phone every Feb like the other Samsung fans,  I don't want to go another year without upgrading ",positive,26
27,0.0,0.756,0.244,0.6369,I just got it a few weeks ago and have been in love with it since. ,positive,27
28,0.0,0.928,0.072,0.3903,"I was happy with my 4 years-old S10+, but the new stuff the S23 Ultra brings (plus a little bit of old age and storage issues surfacing in the S10+) really made me go for the newer phone!",positive,28
29,0.0,0.862,0.138,0.6124,Watching this on my Samsung S10 Plus I got almost 4 years ago. Still a gorgeous display. I used iPhone mini in the meantime and went back to the S10.,positive,29
30,0.177,0.547,0.276,0.7003,"Great product and I love it.
Only huge No No is the C type earphones (no jack). 
The phone always goes crazy deciding between the charger or the earphones.",positive,30
31,0.0,0.849,0.151,0.4926,This was way better then I was expecting! I might upgrade from 13 pro max to S23U just because I prefer Samsung,positive,31
32,0.049,0.695,0.256,0.7227,"Every single year, their official introduction films always amaze me. Idk who comes up with these ideas but I applaud you ",positive,32
33,0.03,0.851,0.119,0.9309,"I have an S8 since 2017. I waited and waited, and raised some money for a new phone. I am thinking at S23U, not sure though due to its sizes. It seems so big, but with all the new specs and camera upgrades I do think it is a good deal. I use my phone for social media, email and a lot of photos (nature mostly and family photos). My S8 battery started to show signs of getting old a few months ago. I thought of other brands as well, but I am a Samsung fan. I am thinking about S23U also because of its battery (which is bigger than the on on S23+). A lot of you mention S22U as being a good phone (no doubt about that), but I cannot say the price makes a huge difference between both of them, and taking into account the upgrades S23U has, I think it is worth it. Any suggestions?",positive,33
34,0.0,0.725,0.275,0.4664,I haven't been this excited for a new phone in a while!,positive,34
35,0.0,0.648,0.352,0.6532,"Watched on my S23 Ultra, so immersive! So pretty!",positive,35
36,0.0,1.0,0.0,0.0,And I might upgrade from S22 Ultra to S23 Ultra just for that astrophotography.  ,neutral,36
37,0.0,0.645,0.355,0.941,Love love love! This will be my next new phone. Haven't felt the need to upgrade my S10+ since release... I think now is the time and I'm EXCITED!!!!,positive,37
38,0.0,0.65,0.35,0.865,"The switch from Apple to Samsung S23 Ultra was absolutely worth it
The S23 Ultra is a true beast 
Great work, Samsung!!",positive,38
39,0.0,0.828,0.172,0.3612,The editing is of next level to make s23 ultra feel like ultra,positive,39
40,0.042,0.909,0.049,0.0516,This is my first time getting a flagship model since the existence of smartphone. I swear I gonna rewatch every S23 ultra videos on youtube once I get my phone next week ,neutral,40
41,0.0,0.658,0.342,0.6892,great stuff Samsung as always! doing my pre order now!,positive,41
42,0.0,0.813,0.187,0.5994,As someone who has a S9 and loved taking photos on my phone. This is what I'll upgrade to,positive,42
43,0.0,0.723,0.277,0.8252,"I think I can speak for everyone when I say, THIS WAS AN AMAZING, WELL EXECUTED VIDEO, showing us what’s new about our life companion!",positive,43
44,0.092,0.759,0.149,0.9623,"my last Note was the Samsung Galaxy Note 20 Ultra 5G, but even then I had so many problems with the hardware and software, the biggest issue was the overheating of the Li-ion (Lithium ion) battery. I am really glad I switched to Xiaomi with their safer Li-po (Lithium polymer) battery, not only it charges much quicker, it is a safer battery technology and I don't experience any overheating of the device, also Li-po batteries can't explode;) Even the chipset Snapdragon 8+ Gen 1 is much faster than Snapdragon 8 Gen 2 on Galaxy phones because on Samsung it uses Samsung technology and on other phones it's TSMC technology which is way better and reliable! Samsung phones are copying Apple and are loosing features but not gaining and are only good and advertising. Not a 1 billion color display, not fast charging because of the Li-ion dangerous batteries, not the best camera, not the best chipset technology, not a charger in the box, not a case in the box. Li-po batteries are safer for the environment and is the way to safe our planet, not by removing the charger from the box, chargers can be recycled and create new charging bricks, not how Samsung is saying to go buying another package with a new charger and waste paper and trees, or as Samsung is saying to use your old charger which may be broken and with slower charging than your new Galaxy phone. The most important thing is using safer and environmental friendly battery technology which doesn't explode, doesn't heat up as much and can be charged faster! The phone that I am using is the Xiaomi 12S Ultra, and I am really happy with it!",positive,44
45,0.062,0.938,0.0,-0.2732,"envious of the SD 8 gen 2, from my s22+. though the battery here is also very doable, can't imagine how stressfree it would be with the s23 series in terms of power backup",negative,45
46,0.048,0.895,0.057,0.4828,"The best way to shoot quality photos with the new Samsung Galaxy S32 Ultra is to use the 50MP mode and then scale down the size to 4000 x 3000 pixels (12MP, 4:3 aspect ratio) or crop the latter to 4000 x 2250 pixels (9MP, 16:9 ratio). This results into extremely detailed photos with small file size. I'm wondering, why the ""Samsung"" engineers were not smart enough to include those two options in the phone's camera app? I used to have S21 and did the same trick with its 64MP photos that I scaled down to incredibly natural looking 9MP ones with an aspect ratio of 16:9. The default 12MP photos of S23 Ultra are oversharpened and unnatural.",positive,46
47,0.0,1.0,0.0,0.0,"The design is very similar to S22 Ultra, but I'm rooting for the camera upgrade",neutral,47
48,0.0,0.645,0.355,0.5106,Back to old school. Informative and fun ,positive,48
49,0.074,0.694,0.232,0.904,"Seems great despite looking like iterative update. Anyway, one disappointed aspect is Samsung does not up the ante for Ultra Wide Angle Camera. Oppo able to fit same sensor as main sensor on Find X5 pro which have among the best ultra-wide camera (day and night). Wish Samsung put bigger and better sensor for Ultra-wide camera.",positive,49
50,0.0,0.55,0.45,0.9022,"Definitely worth the buy. Best features are enhanced cameras, upgraded s-pen, exclusive exterior, longer lasting battery and efficient on screen experience.",positive,50
51,0.0,0.805,0.195,0.476,"Dude I'm impressed by those front and rear cameras️‍️, I really want one i will start saving money but till then s24 ultra will be launched",positive,51
52,0.0,0.631,0.369,0.6249,This newly masterpiece gonna rule over people's hearts. ️,positive,52
53,0.092,0.751,0.157,0.2263,"Finally Samsung has shed some light on videography. Upto the S22 series, this was the only problem. Looks like they've solved it in it's predecessor",positive,53
54,0.0,0.67,0.33,0.8131,"This is so awesome!! I've ordered my S23 Ultra, can't wait to get it!!",positive,54
55,0.041,0.843,0.116,0.4753,Being an S22 Ultra user i thought there couldn't be any better phone and the S23 ultra will jst have some extra stuff and nothing more but these huge internal upgrades are making me want the s23 ultra now️,positive,55
56,0.0,0.588,0.412,0.8807,"this comercial makes me want to buy it right now, i loved everything about it and i loved the phone as well.",positive,56
57,0.0,0.632,0.368,0.7901,"Love this next level commercial, looks like we are in the future right now! ",positive,57
58,0.0,1.0,0.0,0.0,Absolutely incredible introduction video,neutral,58
59,0.091,0.409,0.5,0.8748,"I'm just in love with Samsung wow, this introduction alone is so special",positive,59
60,0.0,0.647,0.353,0.7964,I hope the astrophotography mood will come with an update on s22 ultra I love discovering space  ️,positive,60
61,0.072,0.758,0.17,0.4981,Good thing they fixed this low light photo/video issue this was one of the reason I ditched S22 ultra. Definitely looking forward to upgrade from S10+ to S23 ultra.,positive,61
62,0.0,1.0,0.0,0.0,Now it is called performance booster in every thing ️,neutral,62
63,0.0,0.732,0.268,0.5106,Now that's how you do an introduction film. Kudos Samsung,positive,63
64,0.243,0.368,0.39,0.25,"As an Apple fan, this is honestly sick ",positive,64
65,0.0,0.932,0.068,0.5346,"I just love how the sync or union everything with each other 

I have been using Samsung specially the Note ""Ultra"" line for more than 12 years.

They only need to make the charging time as fast as the chines phones.

I have the tab S8 Ultra, S22 Ultra, Smart watch4 and I'm thinking now for the Samsung Book Ultra but I can't afford the price now ",positive,65
66,0.072,0.902,0.026,-0.4854,"I was not planning to move on Samsung after my Samsung S10 Plus (that was a bad experience with Samsung then I have purchased OnePlus 7Pro) but was planning for Samsung post launch of S22 ultra because of the design and waited for a year to price drop. 
And now Samsung S23 Ultra launched and with the corporate offer I got it at the same price of S22 Ultra.",negative,66
67,0.0,0.884,0.116,0.7717,It makes me think the S24 Ultra will be completely different. The fact they've basically kept the same design and just changed the camera quality and storage capacity makes me think hmmm what will the S24 Ultra look like? I'm keeping my S22 Ultra love it. Still have my S10+ and S20 Ultra,positive,67
68,0.0,0.354,0.646,0.807,Very good design and awesome features.,positive,68
69,0.0,0.885,0.115,0.6474,Already using S22 Ultra for year. But didn't notice much difference in S23 Ultra. Decided to keep for another year. May b next year Samsung will come with new much more better features and design.,positive,69
70,0.0,1.0,0.0,0.0,"i have already ordered s23u in graphite colour, can't wait to get my hands on️",neutral,70
71,0.0,0.659,0.341,0.8516,this is by far the best introduction for a phone I've ever seen in my life really amazing Samsung ,positive,71
72,0.0,0.705,0.295,0.8879,Watching this on my galaxy s23 ultra cream ! Came from a 21ultra this phone is literally outstanding !! The best flagship phone on the market in the entire world,positive,72
73,0.0,0.783,0.217,0.3612,"Though not buying it,but this introduction put a smile on me ️",positive,73
74,0.0,1.0,0.0,0.0,"I've been with Samsung since the Galaxy S6, which I still own. Just pre ordered mine. I'm upgrading from the S20 Plus 5G to S23 Galaxy Ultra.",neutral,74
75,0.0,0.609,0.391,0.5423,"This is not just an adso engaging, well done",positive,75
76,0.0,0.649,0.351,0.8442,S-series smartphones are probably the best android phones in any segment all around the globe. Loved it.,positive,76
77,0.0,1.0,0.0,0.0,"Got the deviyek few days ago , lovin it ️",neutral,77
78,0.0,0.508,0.492,0.4404,This was truly epic,positive,78
79,0.0,0.755,0.245,0.0772,Now I want this even more... ,neutral,79
80,0.0,0.699,0.301,0.8225,"Its durability increase on every S generation, I'm using S20FE now and its still working like miracle (the last OS updates were game changer)",positive,80
81,0.0,0.625,0.375,0.5574,"Fantastic technology advancement. 

Version 5 is the best-to-date. ",positive,81
82,0.077,0.767,0.157,0.3612,Was waiting for samsung to release S23 for a long time n finally s23 is out n it's crazy man... Hope I can afford to buy my dream phone one day...,positive,82
83,0.0,1.0,0.0,0.0,Just pre-booked in India. Should be getting delivered by 20 Feb. So long waiting to buy a S23,neutral,83
84,0.0,0.865,0.135,0.5538,"From fifth harmony to going solo, to letting us hear ""i'll be home for QUISMOIS"", to S23 ultra. Her influence is so different. Untouchable!!!",positive,84
85,0.0,0.761,0.239,0.2225,Now I want this even more ..... !! ,positive,85
86,0.0,0.711,0.289,0.7257,This is the best Samsung commercial in decades! Make me really want to get S23 ultra.Maybe i will,positive,86
87,0.0,0.574,0.426,0.8922,I can never buy it but it was good to see the reviews. I love Samsung a lot.,positive,87
88,0.152,0.586,0.262,0.7946,"I just got this phone today, this phone is an absolute beast!
Gaming experience, video, picture quality was amazing!! the preformance on games were great via the snapdragon processor! no lags or stuttering :)",positive,88
89,0.0,0.545,0.455,0.3612,Just incredible like always ️,positive,89
90,0.0,0.658,0.342,0.9099,Thank you very much Samsung Galaxy came with surprises beyond what we expected and I think we would like to thank all Samsung Galaxy family and employees who have been very successful ,positive,90
91,0.0,0.709,0.291,0.6249,I have the s22 ultra for the past 8 months and it's awesome,positive,91
92,0.0,0.732,0.268,0.659,"Looks so awesome  
Got the S22U, it's AMAZING...
I'll be back 4 the S24U ",positive,92
93,0.0,0.437,0.563,0.8832,"refreshing to see video like this,, fun and informative! love it...",positive,93
94,0.0,0.542,0.458,0.8568,This is the most beautiful ad I've ever seen. It's so fun ,positive,94
95,0.0,0.833,0.167,0.25,Saving up to buy S20 ultra still.. S23 is a dream. ️️️,positive,95
96,0.0,0.734,0.266,0.5848,"Eagerly waiting for this! Gonna be my first flagship phone.
Just waiting for it to be launched in India",positive,96
97,0.0,1.0,0.0,0.0,Now that was epic ,neutral,97
98,0.0,0.271,0.729,0.9529,Excellent! Fantastic! What a beautiful phone ad! And a brilliant phone too!,positive,98
99,0.0,0.708,0.292,0.7351,Thank you very much for the excellent and distinctive explanation. Is the device available for call recording?,positive,99
100,0.0,1.0,0.0,0.0,Already preordered. Wanted to be among the first to get my hands on this one!,neutral,100
101,0.0,0.562,0.438,0.8786,"WOW! gave me chills in the end Makes my 'Note 20 Ultra' look like nothing...
Lol ",positive,101
102,0.0,1.0,0.0,0.0,Watching this in my Galaxy Note 8. Would consider this year's release if I can get it cheaper. S22 Ultra last year has a New Year's promo reducing the retail price by around 17%. My phone is a bit slow now so I am aiming for a new Phone with S-Pen.,neutral,102
103,0.0,0.288,0.712,0.8981,"this commercial is AWESOME!!!
love it ",positive,103
104,0.046,0.665,0.289,0.9601,"their putting a huge push on taking pictures and videos in the dark and stable videos and stuff thats great but im not big on the camera features at all like in general, but i am happy that the cooling vapor chamber is bigger and more efficent. but thats it, its gunna be a good phone but ill wait. happy with my s22 ultra.",positive,104
105,0.0,0.646,0.354,0.2942,This is worth the hype!,positive,105
106,0.0,0.667,0.333,0.6705,I think I'll put my iPhone aside to experience this beauty,positive,106
107,0.0,0.488,0.512,0.6369,In love with this commercial ,positive,107
108,0.0,0.691,0.309,0.8425,"Bruh, I expected a better official introduction video for the S23 Ultra. The Galaxy S21 and S22 Ultra introductions were so amazing!",positive,108
109,0.0,0.238,0.762,0.7506,All ready loving it ,positive,109
110,0.0,0.471,0.529,0.6696,I bought it and i love it!,positive,110
111,0.0,0.568,0.432,0.5859,Those rings around lenses are amazing ,positive,111
112,0.0,0.549,0.451,0.8122,"Love this commercial !, hope that i can have that S23 ultra",positive,112
113,0.0,1.0,0.0,0.0,Literally goosebumps when she introduces a feature to him,neutral,113
114,0.0,0.488,0.512,0.6369,Best phone productivity hands down ,positive,114
115,0.0,0.46,0.54,0.8945,Looks like an awesome phone with a cool hype video but I love my Z Flip 4 already,positive,115
116,0.208,0.609,0.183,-0.0956,Ah yes. Another intro to the smartphone that I can't afford. Brilliant,neutral,116
117,0.18,0.703,0.117,-0.0415,"Pre-ordered mine in graphite. Upgrading from note 20 ultra. Little bit sad that micro SD card is no longer available, but glad that s-pen still made the cut.",neutral,117
118,0.126,0.517,0.356,0.6114,this is cute! hope battery  life has no issue on this one ,positive,118
119,0.0,0.192,0.808,0.6369,Love it,positive,119
120,0.0,0.846,0.154,0.8402,"I'm looking forward to this 100x zoom , space zoom or moon zoom whatever smasung advertised with this stuff. 30x zoom on the s21 plus I can snap pics perfectly of the moon it's amazing so I can't imagine what the s23 ultra with these new features can do.",positive,120
121,0.0,0.872,0.128,0.3612,Thank you  SAMSUNG for being consumer oriented. You listen to us a lot that's why you deliver the best:),positive,121
122,0.0,0.333,0.667,0.8402,Amazing I love to see Samsung unpackes ,positive,122
123,0.0,0.629,0.371,0.8151,"Very nice trailer, well done Samsung! Still sticking to my note 9 that still going solid for God knows how long ",positive,123
124,0.041,0.617,0.342,0.9524,"Wow I am amazed at what Samsung does every year with the s-series and especially the s23 ultra, for me there is no competitor to the Samsung, which is the strongest and the best in everything . Love your Samsung ️️️",positive,124
125,0.0,1.0,0.0,0.0,Yessss and I am about to buy that tomorrow ,neutral,125
126,0.0,0.774,0.226,0.7297,Still have the Note 10 Plus and works well even when it is just Android 12. Though I am already thinking of upgrading. :D,positive,126
127,0.0,0.833,0.167,0.4215,"I like this ad, now I know what I can use the features for. I'm using S21 and probably want to upgrade to S23",positive,127
128,0.0,0.328,0.672,0.6239,This is amazing! ️ ,positive,128
129,0.064,0.748,0.188,0.7003,The trade-in value was horrible for the s22 ultra so I'll just wait m I do like the upgrade it features like the better camera and allegedly longer battery life. Not to mention the less curves are appealing. And I make commission from the sales of these from SAMSUNG.,positive,129
130,0.0,0.605,0.395,0.9018,After watching the samples there are some great improvements to video and night time video! For now great job samsung!,positive,130
131,0.0,0.857,0.143,0.3612,This ad makes me feel like I can afford the new Samsung Galaxy. Way to go Samsung.,positive,131
132,0.185,0.615,0.2,0.0516,It's crazy how brighter the vieos are on the S23 ,neutral,132
133,0.0,1.0,0.0,0.0,"""Look at you with your fancy pen"" is something people actually say, the most realistic line in this video",neutral,133
134,0.0,0.703,0.297,0.5859,Wow. We all need to check this out real soon.,positive,134
135,0.0,0.59,0.41,0.8762,Wow these phones are so great I can't wait least 10 more year's to afford one,positive,135
136,0.072,0.727,0.2,0.8035,"Impressive introduction video, how about the battery ? Is that any improvement and not overheating easily? Not a sarcastic post, am a S series user from S2, S6, S9+ and now S21 Ultra, all functions are good just battery easily dropping and sometimes might overheat and need shutdown for cold down.",positive,136
137,0.0,0.839,0.161,0.3182,"Sure will get S23 Ultra 
Can't wait the year 2123 to get it ",positive,137
138,0.0,0.323,0.677,0.6369,Love this one.,positive,138
139,0.0,0.556,0.444,0.802,Ayyyyy .... Super fun .... What a level of presentation... Mind blowing... ,positive,139
140,0.0,1.0,0.0,0.0,Just preordered it... can't wait to have on my hand...,neutral,140
141,0.0,0.656,0.344,0.6369,"Watching it from my S23 Ultra, I love this phone ",positive,141
142,0.0,1.0,0.0,0.0, I'm an s22 ultra user now this is my next beast ,neutral,142
143,0.0,0.769,0.231,0.6369,S23 ultra - the best smartphone in the world. Samsung will rule year 2023 with S23 ,positive,143
144,0.0,0.932,0.068,0.4404,"The ultra needs to have a 2TB variant while the the S+ should have a 1TB variant since SD cards have been removed, just hope they make the larger storage options much cheaper to make up for the removal of the SD cards.",positive,144
145,0.178,0.472,0.35,0.6124,Happy with the introduction  but sad that I cannot by such an expensive phone I love ,positive,145
146,0.0,0.834,0.166,0.4574,I just got the Samsung S22 in December and now the S23 Ultra is out! Looks interesting,positive,146
147,0.0,0.384,0.616,0.8412,AWESOME. I already bought two phones . So good,positive,147
148,0.0,0.809,0.191,0.3818,"Now we feel the real innovation, Galaxy S23 series feels the power",positive,148
149,0.0,0.373,0.627,0.9648,"Congratulations to the World 
Here is another greatest creation from Samsung 
Best wishes for you my love Samsung ",positive,149
150,0.0,0.672,0.328,0.5994,Watching this in my S10+ and loving this device.,positive,150
151,0.114,0.763,0.123,0.0516,"I think the one problem is
that they should improve battery life when caching lots of datas and using max power",neutral,151
152,0.0,0.577,0.423,0.765,Same like Samsung S22 Ultra with some modification.. Awesome it is ,positive,152
153,0.401,0.599,0.0,-0.5191,Samsung never disappoints.... Stunning phone again!!!!!,negative,153
154,0.0,0.698,0.302,0.8255,"Let's take a moment to appreciate samsung for not turning off comments like apple always does 

I've really started to enjoy their personality more.",positive,154
155,0.0,1.0,0.0,0.0,Finally watching this in my new s23 ultra.,neutral,155
156,0.0,0.755,0.245,0.6744,Still sticking with my S20 Ultra for another two years or so. But looks good!,positive,156
157,0.0,0.785,0.215,0.7501,Would really like to see Samsung Galaxy go back to the S6 Active / metal or even renewed plastic designs for the back plate. Guess I'll just have to keep wishing.,positive,157
158,0.348,0.473,0.18,-0.4168,"Okay!!!
This was freaking 'Epitome of Epicosity'.",negative,158
159,0.0,0.439,0.561,0.7506,Amazing Samsung innovation beyond anyone else ..,positive,159
160,0.0,0.496,0.504,0.9215,"This phone is awesome, still discovering features as just got it today. Have fun creating fun contents!",positive,160
161,0.0,1.0,0.0,0.0,Just taken pre order for S23 Ultra 512 GB RED and can't wait to hand's onnnn ,neutral,161
162,0.107,0.794,0.099,0.075,Just wanna say.. My heart goes to the entire community for Amazons LPA33X building up something which is worth it for everyone. This is so smart by them to launch it to shatter the doubts and fears of the common folk which shouldn't even exist to begin with. Everyone knows the state of inflation and recession now and the way out is already in progress. Now it's just about catching the big fish,neutral,162
163,0.0,0.513,0.487,0.8225,"S22 was already amazing
this is also Gonna be Amazing.",positive,163
164,0.0,1.0,0.0,0.0,Its incredible.,neutral,164
165,0.0,0.523,0.477,0.807,Watching this with my S23 Ultra lol love this phone!,positive,165
166,0.0,1.0,0.0,0.0,"Still using my Note 9, but I might finally upgrade ",neutral,166
167,0.0,0.745,0.255,0.34,I’m excited for this year’s over the horizon,positive,167
168,0.0,0.328,0.672,0.6249,This is a masterpiece,positive,168
169,0.042,0.753,0.204,0.8191,It's pretty much the same as Samsung Galaxy S22. Not much of a huge difference and upgrade.Except for it's camera more powerful and bit more extra features. Otherwise both the series and model are pretty much similar. S22 and S23.,positive,169
170,0.0,0.494,0.506,0.6249,S23 Ultra is awesome man ️,positive,170
171,0.0,0.679,0.321,0.7955,"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",positive,171
172,0.0,0.725,0.275,0.4664,I haven't been this excited for a new phone in a while!,positive,172
173,0.0,0.328,0.672,0.6249,Great can't wait ,positive,173
174,0.0,0.782,0.218,0.636,"I loved this trailer! Just because of this commercial, I gotta change my iphone and buy a s23 ultra",positive,174
175,0.574,0.426,0.0,-0.4019,THIS IS INSANE ,negative,175
176,0.0,0.735,0.265,0.3818,I want a mini version of ultra next year. Please make this possible SAMSUNG.,positive,176
177,0.0,0.909,0.091,0.2023,My s20 ultra still runs fine. I can wait a couple more years until I pick this up for cheap. Says a lot.,positive,177
178,0.0,0.693,0.307,0.7351,If get the chance to buy I still go with S21 ultra model I love it's designed & colour.,positive,178
179,0.0,0.874,0.126,0.3182,"I've been a constant fan of only one thing, Galaxy series.

Right form Samsung S3, Designed for Humans.",positive,179
180,0.61,0.39,0.0,-0.5719,it is EPIC no doubt,negative,180
181,0.0,0.588,0.412,0.6369,Best intro of the year I'll say️,positive,181
182,0.0,0.192,0.808,0.9274,"best of the best, I love it",positive,182
183,0.0,0.588,0.412,0.6369,I love it S23 with one ui 5.1 ️,positive,183
184,0.0,0.661,0.339,0.9468,"You know what i love about this ad, it was the perfect blend of functional features with storytelling. Not too over the top, not to sensational, as android people we love performance and you guys delivered. Thank you",positive,184
185,0.0,0.192,0.808,0.6369,I love it. ,positive,185
186,0.0,0.839,0.161,0.4003,"I'm excited to get my brand new Samsung Galaxy S23 Ultra on July, 15, 2023!",positive,186
187,0.0,0.89,0.11,0.2714,S22ult is a BOOM last year so many ppl expecting much for this! will be there any significant upgrade..?,positive,187
188,0.046,0.711,0.243,0.8555,"If samsung is following apple with no proper design and price update, I think I've made the good decision to pick pixel 7 pro. Google as a holistic has got all in one with good design and good configuration and good price.",positive,188
189,0.0,1.0,0.0,0.0,Such detailing is mind supernova-ing,neutral,189
190,0.0,1.0,0.0,0.0,I can't wait for the s23 ultra and the s23 ultra,neutral,190
191,0.0,0.621,0.379,0.6705,"Even as an apple fan i gotta admit,the trailer is pretty epic",positive,191
192,0.245,0.625,0.13,-0.296,"I never seen a phone or advertising like this before in my life
No doubt about samsung ",negative,192
193,0.0,0.543,0.457,0.6369,That's an EPIC commercial..... Love s23 ,positive,193
194,0.0,0.357,0.643,0.802,I wish I could purchase this amazing mobile,positive,194
195,0.0,0.774,0.226,0.6892,Another great work for Samsung!! Watching this in my s22 ultra so I root for s24 or s25,positive,195
196,0.0,1.0,0.0,0.0,The legend is back ️️️️️,neutral,196
197,0.0,0.447,0.553,0.7346,wow they made this really well tbh,positive,197
198,0.0,1.0,0.0,0.0,got s23 ultra 4 days ago and watching this on it ,neutral,198
199,0.0,1.0,0.0,0.0,"Pre-ordered, purchased, can't wait till 2-17-23! In lavender of course!",neutral,199
200,0.0,0.494,0.506,0.8819,So awesome  I’m an apple loyalist but il love to have this phone,positive,200
201,0.0,1.0,0.0,0.0,Ordered just now ,neutral,201
202,0.0,0.333,0.667,0.25,Dream one️‍,positive,202
